Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
Shanghai Chef 2,Value for Money,17,2,3,12,79.41,0.4594594594594595,45.95,63.51
Shanghai Chef 2,Hygiene,4,3,0,1,25.0,0.16666666666666666,16.67,45.83
Shanghai Chef 2,Overall Dining Experience,20,3,0,17,85.0,0.5,50.0,67.5
Udipi's Upahar,Food Quality,35,3,4,28,85.71,0.6363636363636364,63.64,72.72
Udipi's Upahar,Service,6,2,0,4,66.67,0.23076923076923078,23.08,53.85
Udipi's Upahar,Ambience,3,0,2,1,66.67,0.13043478260869565,13.04,52.17
Udipi's Upahar,Value for Money,6,0,1,5,91.67,0.23076923076923078,23.08,59.62
Udipi's Upahar,Hygiene,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Udipi's Upahar,Overall Dining Experience,4,0,0,4,100.0,0.16666666666666666,16.67,58.33
Mathura Vilas,Food Quality,82,26,9,47,62.8,0.803921568627451,80.39,60.29
Mathura Vilas,Service,52,25,2,25,50.0,0.7222222222222222,72.22,50.0
Mathura Vilas,Ambience,22,2,5,15,79.55,0.5238095238095238,52.38,65.48
Mathura Vilas,Value for Money,18,6,4,8,55.56,0.47368421052631576,47.37,52.63
Mathura Vilas,Hygiene,4,1,0,3,75.0,0.16666666666666666,16.67,54.17
Mathura Vilas,Overall Dining Experience,10,3,1,6,65.0,0.3333333333333333,33.33,55.0
Gal Punjab Di,Food Quality,95,13,15,67,78.42,0.8260869565217391,82.61,73.48
Gal Punjab Di,Service,25,4,1,20,82.0,0.5555555555555556,55.56,67.78
Gal Punjab Di,Ambience,28,0,2,26,96.43,0.5833333333333334,58.33,77.08
Gal Punjab Di,Value for Money,11,1,2,8,81.82,0.3548387096774194,35.48,61.29
Gal Punjab Di,Hygiene,1,0,1,0,50.0,0.047619047619047616,4.76,50.0
Gal Punjab Di,Overall Dining Experience,24,0,0,24,100.0,0.5454545454545454,54.55,77.27
Hitech Bawarchi Food Zone,Food Quality,31,20,4,7,29.03,0.6078431372549019,60.78,37.25
Hitech Bawarchi Food Zone,Service,3,1,0,2,66.67,0.13043478260869565,13.04,52.17
Hitech Bawarchi Food Zone,Ambience,0,0,0,0,50.0,0.0,0.0,50.0
Hitech Bawarchi Food Zone,Value for Money,7,5,1,1,21.43,0.25925925925925924,25.93,42.59
Hitech Bawarchi Food Zone,Hygiene,1,1,0,0,0.0,0.047619047619047616,4.76,47.62
Hitech Bawarchi Food Zone,Overall Dining Experience,0,0,0,0,50.0,0.0,0.0,50.0
Diners Pavilion,Food Quality,99,18,16,65,73.74,0.8319327731092437,83.19,69.75
Diners Pavilion,Service,52,17,7,28,60.58,0.7222222222222222,72.22,57.64
Diners Pavilion,Ambience,37,0,9,28,87.84,0.6491228070175439,64.91,74.56
Diners Pavilion,Value for Money,10,1,3,6,75.0,0.3333333333333333,33.33,58.33
Diners Pavilion,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Diners Pavilion,Overall Dining Experience,18,3,3,12,75.0,0.47368421052631576,47.37,61.84
Feast - Sheraton Hyderabad Hotel,Food Quality,98,12,11,75,82.14,0.8305084745762712,83.05,76.69
Feast - Sheraton Hyderabad Hotel,Service,67,8,1,58,87.31,0.7701149425287356,77.01,78.73
Feast - Sheraton Hyderabad Hotel,Ambience,24,0,1,23,97.92,0.5454545454545454,54.55,76.14
Feast - Sheraton Hyderabad Hotel,Value for Money,10,2,2,6,70.0,0.3333333333333333,33.33,56.67
Feast - Sheraton Hyderabad Hotel,Hygiene,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Feast - Sheraton Hyderabad Hotel,Overall Dining Experience,19,3,1,15,81.58,0.48717948717948717,48.72,65.39
Shree Santosh Dhaba Family Restaurant,Food Quality,31,22,2,7,25.81,0.6078431372549019,60.78,35.3
Shree Santosh Dhaba Family Restaurant,Service,2,1,0,1,50.0,0.09090909090909091,9.09,50.0
Shree Santosh Dhaba Family Restaurant,Ambience,1,0,1,0,50.0,0.047619047619047616,4.76,50.0
Shree Santosh Dhaba Family Restaurant,Value for Money,1,0,1,0,50.0,0.047619047619047616,4.76,50.0
Shree Santosh Dhaba Family Restaurant,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Shree Santosh Dhaba Family Restaurant,Overall Dining Experience,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Dine O China,Food Quality,79,15,10,54,74.68,0.797979797979798,79.8,69.69
Dine O China,Service,24,2,1,21,89.58,0.5454545454545454,54.55,71.59
Dine O China,Ambience,18,1,1,16,91.67,0.47368421052631576,47.37,69.74
Dine O China,Value for Money,13,3,4,6,61.54,0.3939393939393939,39.39,54.55
Dine O China,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Dine O China,Overall Dining Experience,15,0,0,15,100.0,0.42857142857142855,42.86,71.43
Hyderabad Chefs,Food Quality,25,4,4,17,76.0,0.5555555555555556,55.56,64.44
Hyderabad Chefs,Service,5,1,0,4,80.0,0.2,20.0,56.0
Hyderabad Chefs,Ambience,3,2,0,1,33.33,0.13043478260869565,13.04,47.83
Hyderabad Chefs,Value for Money,7,2,1,4,64.29,0.25925925925925924,25.93,53.7
Hyderabad Chefs,Hygiene,2,2,0,0,0.0,0.09090909090909091,9.09,45.45
Hyderabad Chefs,Overall Dining Experience,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Komatose - Holiday Inn Express & Suites,Food Quality,50,5,5,40,85.0,0.7142857142857143,71.43,75.0
Komatose - Holiday Inn Express & Suites,Service,31,6,1,24,79.03,0.6078431372549019,60.78,67.65
Komatose - Holiday Inn Express & Suites,Ambience,44,3,4,37,88.64,0.6875,68.75,76.56
Komatose - Holiday Inn Express & Suites,Value for Money,8,1,2,5,75.0,0.2857142857142857,28.57,57.14
Komatose - Holiday Inn Express & Suites,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Komatose - Holiday Inn Express & Suites,Overall Dining Experience,12,0,1,11,95.83,0.375,37.5,67.19
Aromas@11SIX,Food Quality,76,19,16,41,64.47,0.7916666666666666,79.17,61.46
Aromas@11SIX,Service,21,4,6,11,66.67,0.5121951219512195,51.22,58.54
Aromas@11SIX,Ambience,14,2,6,6,64.29,0.4117647058823529,41.18,55.88
